frame,time_seconds,detections,track_ids,mean_confidence
0,0.0,1,1,0.82025
1,0.033,1,1,0.84393
2,0.067,1,1,0.82643
3,0.1,1,1,0.81347
4,0.133,1,1,0.81313
5,0.167,1,1,0.81489
6,0.2,1,1,0.82737
7,0.233,1,1,0.84375
8,0.267,1,1,0.8243
9,0.3,1,1,0.82755
10,0.333,1,1,0.76877
11,0.367,1,1,0.774
12,0.4,2,1;4,0.63852
13,0.433,2,1;4,0.46663
14,0.467,2,1;4,0.60486
15,0.5,1,1,0.52074
16,0.533,2,1;4,0.58701
17,0.567,1,1,0.62933
18,0.6,2,1;4,0.60816
19,0.633,2,1;4,0.6469
20,0.667,1,1,0.59984
21,0.7,3,1;11;4,0.57771
22,0.733,3,1;11;4,0.59292
23,0.767,3,1;11;4,0.5236
24,0.8,2,1;4,0.71532
25,0.833,2,1;4,0.72227
26,0.867,3,1;4;20,0.6349
27,0.9,3,1;4;20,0.60185
28,0.933,3,1;4;20,0.52314
29,0.967,3,1;4;20,0.54007
30,1.0,3,1;4;24,0.57706
31,1.033,4,1;4;24;20,0.4717
32,1.067,5,1;4;24;26;20,0.4526
33,1.1,3,1;24;26,0.421
34,1.133,3,24;26;4,0.53744
35,1.167,3,24;26;4,0.48569
36,1.2,3,24;26;4,0.59586
37,1.233,3,24;26;4,0.58704
38,1.267,3,24;26;4,0.57196
39,1.3,3,24;4;1,0.60153
40,1.333,3,24;4;1,0.41524
41,1.367,3,24;4;1,0.46056
42,1.4,4,24;4;1;26,0.40238
43,1.433,3,24;4;1,0.44443
44,1.467,3,24;1;26,0.52512
45,1.5,2,24;4,0.64042
46,1.533,2,4;1,0.44517
47,1.567,2,4;24,0.49971
48,1.6,2,4;24,0.52401
49,1.633,2,4;24,0.75442
50,1.667,2,4;24,0.64665
51,1.7,2,4;24,0.60566
52,1.733,3,4;24;26,0.50712
53,1.767,2,4;24,0.71049
54,1.8,2,4;24,0.72306
55,1.833,2,4;24,0.74551
56,1.867,3,4;24;26,0.58809
57,1.9,2,24;26,0.68443
58,1.933,3,24;26;4,0.56609
59,1.967,2,24;26,0.69763
60,2.0,2,24;26,0.64255
61,2.033,2,24;4,0.67177
62,2.067,2,24;4,0.79427
63,2.1,2,24;4,0.79522
64,2.133,2,24;4,0.74868
65,2.167,2,24;4,0.76679
66,2.2,3,24;4;26,0.58471
67,2.233,3,24;4;26,0.54683
68,2.267,2,24;26,0.64566
69,2.3,2,24;26,0.64465
70,2.333,2,24;4,0.72131
71,2.367,3,24;4;26,0.51341
72,2.4,2,24;26,0.55477
73,2.433,1,24,0.74785
74,2.467,1,24,0.6925
75,2.5,1,24,0.72763
76,2.533,2,24;42,0.52391
77,2.567,2,24;42,0.58203
78,2.6,1,24,0.7034
79,2.633,1,24,0.663
80,2.667,2,24;42,0.48979
81,2.7,2,24;42,0.52334
82,2.733,2,24;42,0.5075
83,2.767,2,24;42,0.49045
84,2.8,2,24;42,0.50546
85,2.833,1,24,0.72507
86,2.867,1,24,0.76508
87,2.9,1,24,0.74816
88,2.933,1,24,0.73477
89,2.967,1,24,0.68425
90,3.0,2,24;42,0.53647
91,3.033,2,24;42,0.61133
92,3.067,2,24;42,0.63172
93,3.1,3,24;42;4,0.49496
94,3.133,2,24;42,0.52811
95,3.167,3,24;44;4,0.60021
96,3.2,2,24;42,0.52154
97,3.233,2,24;42,0.60298
98,3.267,2,24;42,0.66814
99,3.3,2,24;42,0.65919
100,3.333,2,24;42,0.59476
101,3.367,2,24;42,0.50108
102,3.4,2,24;42,0.58932
103,3.433,2,24;42,0.66737
104,3.467,2,24;42,0.61986
105,3.5,2,24;42,0.59106
106,3.533,2,24;42,0.55139
107,3.567,2,24;42,0.58929
108,3.6,2,24;42,0.5805
109,3.633,1,24,0.79446
110,3.667,2,24;42,0.68269
111,3.7,2,24;42,0.54741
112,3.733,2,24;4,0.60734
113,3.767,2,24;4,0.69172
114,3.8,1,24,0.73394
115,3.833,2,24;4,0.64935
116,3.867,2,24;4,0.70279
117,3.9,2,24;4,0.65058
118,3.933,3,24;4;48,0.64124
119,3.967,2,24;4,0.59394
120,4.0,2,24;4,0.74809
121,4.033,2,24;4,0.73784
122,4.067,2,24;4,0.68148
123,4.1,2,24;4,0.77019
124,4.133,2,24;4,0.79386
125,4.167,2,24;4,0.79345
126,4.2,2,24;4,0.78087
127,4.233,2,24;4,0.79367
128,4.267,2,24;4,0.64477
129,4.3,2,24;4,0.66635
130,4.333,2,24;4,0.8017
131,4.367,2,24;4,0.78457
132,4.4,2,24;4,0.78473
133,4.433,2,24;4,0.71362
134,4.467,2,24;4,0.75763
135,4.5,2,24;4,0.7744
136,4.533,2,24;4,0.70813
137,4.567,2,24;4,0.60325
138,4.6,2,24;4,0.59292
139,4.633,2,24;4,0.52279
140,4.667,2,24;4,0.59024
141,4.7,2,24;4,0.55696
142,4.733,2,24;4,0.71095
143,4.767,2,24;4,0.64218
144,4.8,2,24;4,0.70593
145,4.833,2,24;4,0.68395
146,4.867,2,24;4,0.71766
147,4.9,2,24;4,0.76153
148,4.933,2,24;4,0.80564
149,4.967,2,24;4,0.81139
150,5.0,2,24;4,0.79612
151,5.033,2,24;4,0.57534
152,5.067,2,24;4,0.62567
153,5.1,2,24;4,0.66445
154,5.133,2,24;4,0.49937
155,5.167,2,24;4,0.77373
156,5.2,2,24;4,0.67277
157,5.233,1,4,0.70249
158,5.267,2,4;24,0.75609
159,5.3,1,4,0.76298
160,5.333,2,4;24,0.80093
161,5.367,1,4,0.7765
162,5.4,2,4;58,0.70553
163,5.433,2,4;24,0.76281
164,5.467,3,4;24;58,0.61179
165,5.5,3,4;61;58,0.58164
166,5.533,3,4;61;58,0.65419
167,5.567,3,4;61;58,0.68404
168,5.6,3,4;61;58,0.67731
169,5.633,3,4;61;58,0.72505
170,5.667,3,4;61;58,0.66597
171,5.7,3,4;61;58,0.7102
172,5.733,3,4;61;58,0.53078
173,5.767,3,4;58;24,0.58087
174,5.8,2,4;24,0.78022
175,5.833,2,4;24,0.80785
176,5.867,2,4;24,0.8122
177,5.9,2,4;24,0.76931
178,5.933,2,4;24,0.72681
179,5.967,2,4;24,0.8232
180,6.0,2,4;24,0.82258
181,6.033,2,4;24,0.81592
182,6.067,2,4;24,0.74027
183,6.1,2,4;24,0.64134
184,6.133,2,4;24,0.79185
185,6.167,2,4;24,0.81136
186,6.2,2,4;24,0.71438
187,6.233,2,4;24,0.67848
188,6.267,3,4;24;63,0.58241
189,6.3,3,4;24;63,0.62071
190,6.333,3,4;24;63,0.56367
191,6.367,3,4;24;63,0.63637
192,6.4,3,4;24;63,0.58823
193,6.433,2,4;63,0.73674
194,6.467,2,4;63,0.76069
195,6.5,2,4;63,0.79926
196,6.533,2,4;63,0.78691
197,6.567,2,4;63,0.759
198,6.6,2,4;63,0.76197
199,6.633,2,4;63,0.7754
200,6.667,2,4;63,0.73457
201,6.7,2,4;63,0.7212
202,6.733,2,4;63,0.77292
203,6.767,2,4;63,0.74912
204,6.8,2,4;63,0.76224
205,6.833,2,4;24,0.79715
206,6.867,2,4;24,0.80577
207,6.9,2,4;24,0.82795
208,6.933,2,4;24,0.81459
209,6.967,2,4;24,0.79213
210,7.0,2,4;24,0.84435
211,7.033,2,4;24,0.77823
212,7.067,2,4;24,0.79571
213,7.1,2,4;63,0.68251
214,7.133,2,4;63,0.75387
215,7.167,2,4;63,0.76563
216,7.2,2,4;63,0.68664
217,7.233,2,4;63,0.72409
218,7.267,2,4;63,0.72391
219,7.3,2,4;63,0.74222
220,7.333,2,4;63,0.74776
221,7.367,2,4;63,0.79883
222,7.4,2,4;63,0.8103
223,7.433,2,4;63,0.79727
224,7.467,2,4;63,0.78588
