track_id,frames,duration_seconds,dominant_class,class_changes_proxy
1,41,1.367,Grasper,13
4,290,9.667,Grasper,0
11,3,0.1,Grasper,0
20,6,0.2,Grasper,0
24,158,5.267,Grasper,12
26,21,0.7,Grasper,0
42,27,0.9,Grasper,0
44,1,0.033,Grasper,0
48,1,0.033,Grasper,0
58,11,0.367,Hook,3
61,8,0.267,Grasper,3
63,36,1.2,Grasper,0
70,198,6.6,Grasper,2
71,1,0.033,Hook,0
75,3,0.1,Hook,0
82,11,0.367,Hook,5
86,28,0.933,Grasper,0
90,4,0.133,Grasper,0
95,1,0.033,Hook,0
99,1,0.033,Grasper,0
110,3,0.1,Grasper,0
112,1,0.033,Grasper,0
120,2,0.067,Grasper,0
123,31,1.033,Grasper,0
129,36,1.2,Grasper,0
130,13,0.433,Grasper,0
136,61,2.033,Grasper,3
138,1,0.033,Grasper,0
139,1,0.033,Grasper,0
142,1,0.033,Grasper,0
144,4,0.133,Grasper,0
145,14,0.467,Grasper,0
150,185,6.167,Grasper,0
155,11,0.367,Grasper,0
